Data,Num1,Num2,Num3,Num4,Num5,Num6,Jolly,SuperStar
2022-03-24,15,35,37,48,62,77,28,50
2022-03-26,22,38,74,81,84,89,72,45
2022-03-29,9,32,48,55,68,72,36,68
2022-03-31,15,43,51,59,64,74,11,39
2022-04-02,24,35,45,54,65,68,7,9
2022-04-05,5,21,48,63,83,86,30,70
2022-04-07,11,20,42,43,51,86,71,87
2022-04-09,2,22,27,42,52,89,36,19
2022-04-12,15,27,32,51,74,77,44,22
2022-04-14,5,8,22,38,50,55,12,89
2022-04-16,7,21,25,69,76,77,70,74
2022-04-19,32,41,63,71,76,89,1,24
2022-04-21,17,32,46,49,77,88,48,19
2022-04-23,6,18,23,33,57,71,65,32
2022-04-26,20,44,62,64,67,78,79,40
2022-04-28,24,61,65,67,71,90,14,74
2022-04-30,22,25,34,52,72,85,14,71
2022-05-03,13,24,44,47,66,80,46,81
2022-05-05,25,31,37,38,77,82,43,8
2022-05-07,29,41,43,46,51,81,48,39
2022-05-10,25,37,47,55,73,81,67,5
2022-05-12,21,26,28,54,80,85,4,37
2022-05-14,13,19,39,42,73,83,60,11
2022-05-17,26,29,32,48,65,79,53,61
2022-05-19,2,9,13,39,40,89,6,43
2022-05-21,2,20,25,67,78,80,71,28
2022-05-24,22,24,25,32,46,73,29,62
2022-05-26,10,14,17,32,45,87,18,70
2022-05-28,27,42,55,65,84,90,53,64
2022-05-31,21,34,35,48,63,82,17,14
2022-06-04,2,35,41,43,65,71,12,50
2022-06-06,8,22,31,53,59,86,75,74
2022-06-07,21,31,49,69,77,90,40,22
2022-06-09,4,12,20,32,56,88,25,78
2022-06-11,5,8,18,28,33,59,9,83
2022-06-14,7,34,48,50,53,67,52,52
2022-06-16,31,54,56,60,66,82,29,13
2022-06-18,2,12,16,27,74,78,58,65
2022-06-21,12,16,32,46,60,83,54,52
2022-06-23,34,37,52,55,56,66,79,16
2022-06-25,4,30,42,46,58,89,29,88
2022-06-28,19,32,36,55,71,81,48,64
2022-06-30,6,9,12,16,32,79,26,40
2022-07-02,1,5,25,34,38,66,51,21
2022-07-05,16,17,49,66,82,86,1,67
2022-07-07,17,24,25,35,66,73,54,1
2022-07-09,28,31,41,51,70,83,80,24
2022-07-12,11,56,63,66,68,72,58,68
2022-07-14,3,11,28,39,65,75,48,51
2022-07-16,28,29,38,43,62,71,75,49
2022-07-19,2,17,27,44,78,79,59,1
2022-07-21,7,14,24,43,44,90,66,19
2022-07-23,29,32,46,56,66,90,21,89
2022-07-26,8,31,34,44,56,77,36,9
2022-07-28,19,20,22,54,72,88,50,56
2022-07-30,7,25,28,62,80,87,54,49
2022-08-02,9,25,26,49,68,74,81,59
2022-08-04,20,23,45,66,83,87,16,61
2022-08-06,1,21,29,40,42,58,25,70
2022-08-09,15,25,26,29,38,39,82,41
2022-08-11,6,32,34,56,58,87,23,88
2022-08-13,8,49,62,65,83,88,45,64
2022-08-16,13,19,59,74,81,84,2,51
2022-08-18,5,25,42,51,71,84,38,9
2022-08-20,19,28,31,58,77,85,73,88
2022-08-23,7,44,47,51,52,85,89,72
2022-08-25,33,41,42,84,86,88,38,79
2022-08-27,3,5,15,39,45,80,10,83
2022-08-30,6,11,23,45,57,75,44,45
2022-09-01,2,5,13,19,54,89,40,50
