data,conc.,1.0,2.0,3.0,4.0,5.0,6.0,jolly,supers.
2024-04-12 00:00:00,58,10.0,23.0,47.0,49.0,84.0,85.0,5,24
2024-04-13 00:00:00,59,1.0,6.0,7.0,11.0,79.0,88.0,15,26
2024-04-16 00:00:00,60,1.0,3.0,11.0,53.0,75.0,81.0,61,26
2024-04-18 00:00:00,61,15.0,27.0,42.0,53.0,65.0,85.0,88,49
2024-04-19 00:00:00,62,9.0,18.0,65.0,70.0,75.0,87.0,53,81
2024-04-20 00:00:00,63,26.0,34.0,40.0,53.0,60.0,68.0,82,19
2024-04-23 00:00:00,64,8.0,12.0,20.0,24.0,45.0,73.0,4,3
2024-04-26 00:00:00,65,9.0,13.0,51.0,61.0,81.0,83.0,24,59
2024-04-27 00:00:00,66,24.0,27.0,41.0,54.0,62.0,63.0,37,37
2024-04-29 00:00:00,67,17.0,27.0,44.0,50.0,66.0,85.0,3,32
2024-04-30 00:00:00,68,6.0,7.0,11.0,20.0,33.0,81.0,74,8
2024-05-02 00:00:00,69,14.0,43.0,54.0,69.0,80.0,90.0,1,57
2024-05-03 00:00:00,70,17.0,23.0,43.0,48.0,52.0,66.0,88,3
2024-05-04 00:00:00,71,5.0,18.0,22.0,34.0,52.0,66.0,33,46
2024-05-07 00:00:00,72,21.0,23.0,30.0,45.0,68.0,85.0,53,89
2024-05-09 00:00:00,73,23.0,36.0,38.0,62.0,75.0,81.0,82,62
2024-05-10 00:00:00,74,6.0,20.0,40.0,55.0,71.0,80.0,12,75
2024-05-11 00:00:00,75,21.0,29.0,34.0,36.0,46.0,51.0,41,60
2024-05-14 00:00:00,76,11.0,27.0,39.0,43.0,61.0,85.0,52,43
2024-05-16 00:00:00,77,10.0,11.0,27.0,31.0,66.0,83.0,25,57
2024-05-17 00:00:00,78,13.0,14.0,41.0,53.0,60.0,65.0,5,45
2024-05-18 00:00:00,79,2.0,20.0,31.0,48.0,58.0,59.0,46,30
2024-05-21 00:00:00,80,3.0,28.0,49.0,72.0,83.0,84.0,5,17
2024-05-23 00:00:00,81,4.0,10.0,19.0,50.0,71.0,83.0,27,11
2024-05-24 00:00:00,82,2.0,36.0,39.0,50.0,59.0,64.0,19,3
2024-05-25 00:00:00,83,2.0,10.0,28.0,37.0,56.0,75.0,41,58
2024-05-28 00:00:00,84,19.0,41.0,67.0,76.0,82.0,85.0,23,10
2024-05-30 00:00:00,85,10.0,14.0,16.0,40.0,50.0,55.0,4,31
2024-05-31 00:00:00,86,14.0,20.0,24.0,49.0,83.0,84.0,62,45
2024-06-01 00:00:00,87,4.0,13.0,47.0,75.0,80.0,82.0,83,22
2024-06-04 00:00:00,88,4.0,18.0,28.0,41.0,61.0,75.0,17,72
2024-06-06 00:00:00,89,43.0,44.0,45.0,50.0,67.0,76.0,69,9
2024-06-07 00:00:00,90,39.0,51.0,52.0,58.0,72.0,84.0,11,37
2024-06-08 00:00:00,91,6.0,8.0,14.0,15.0,59.0,79.0,66,2
2024-06-11 00:00:00,92,14.0,27.0,34.0,47.0,73.0,88.0,52,52
2024-06-13 00:00:00,93,5.0,22.0,47.0,54.0,63.0,84.0,85,82
2024-06-14 00:00:00,94,15.0,60.0,82.0,85.0,86.0,87.0,45,42
2024-06-15 00:00:00,95,6.0,16.0,22.0,69.0,73.0,78.0,67,38
2024-06-18 00:00:00,96,20.0,32.0,49.0,50.0,51.0,58.0,44,59
2024-06-20 00:00:00,97,19.0,31.0,39.0,60.0,72.0,80.0,5,49
2024-06-21 00:00:00,98,21.0,23.0,28.0,59.0,79.0,82.0,74,81
2024-06-22 00:00:00,99,3.0,25.0,57.0,69.0,71.0,87.0,48,62
2024-06-25 00:00:00,100,3.0,18.0,49.0,63.0,68.0,82.0,78,51
2024-06-27 00:00:00,101,13.0,28.0,63.0,76.0,80.0,85.0,21,54
2024-06-28 00:00:00,102,21.0,26.0,33.0,34.0,45.0,86.0,28,80
2024-06-29 00:00:00,103,11.0,18.0,25.0,26.0,54.0,84.0,17,69
2024-07-02 00:00:00,104,4.0,7.0,39.0,71.0,79.0,89.0,1,11
2024-07-04 00:00:00,105,15.0,25.0,42.0,53.0,56.0,73.0,60,61
2024-07-05 00:00:00,106,10.0,21.0,23.0,26.0,35.0,50.0,87,76
2024-07-06 00:00:00,107,18.0,24.0,26.0,33.0,34.0,47.0,35,30
2024-07-09 00:00:00,108,8.0,26.0,32.0,34.0,53.0,58.0,25,78
2024-07-11 00:00:00,109,10.0,31.0,40.0,59.0,80.0,85.0,13,48
2024-07-12 00:00:00,110,43.0,54.0,60.0,70.0,75.0,89.0,30,20
2024-07-13 00:00:00,111,6.0,9.0,54.0,63.0,64.0,68.0,43,84
2024-07-16 00:00:00,112,3.0,18.0,26.0,54.0,61.0,72.0,85,30
2024-07-18 00:00:00,113,13.0,23.0,35.0,36.0,57.0,64.0,47,5
2024-07-19 00:00:00,114,13.0,20.0,39.0,48.0,74.0,89.0,47,50
2024-07-20 00:00:00,115,45.0,48.0,50.0,57.0,70.0,71.0,80,52
2024-07-23 00:00:00,116,24.0,59.0,63.0,64.0,82.0,90.0,62,24
2024-07-25 00:00:00,117,2.0,21.0,23.0,56.0,69.0,87.0,52,42
2024-07-26 00:00:00,118,1.0,14.0,21.0,35.0,64.0,85.0,70,5
2024-07-27 00:00:00,119,13.0,14.0,25.0,34.0,59.0,84.0,71,17
2024-07-30 00:00:00,120,11.0,13.0,22.0,34.0,54.0,77.0,35,72
2024-08-01 00:00:00,121,33.0,39.0,78.0,79.0,83.0,84.0,60,88
2024-08-02 00:00:00,122,34.0,42.0,69.0,76.0,81.0,85.0,36,49
2024-08-03 00:00:00,123,6.0,37.0,69.0,73.0,79.0,88.0,4,7
2024-08-06 00:00:00,124,4.0,11.0,85.0,86.0,87.0,88.0,38,2
2024-08-08 00:00:00,125,3.0,16.0,17.0,54.0,61.0,90.0,4,21
2024-08-09 00:00:00,126,23.0,40.0,60.0,79.0,80.0,87.0,50,69
2024-08-10 00:00:00,127,13.0,14.0,49.0,55.0,71.0,77.0,62,32
2024-08-13 00:00:00,128,41.0,43.0,55.0,65.0,80.0,85.0,76,74
2024-08-16 00:00:00,129,1.0,6.0,13.0,20.0,73.0,85.0,11,73
2024-08-17 00:00:00,130,6.0,22.0,43.0,60.0,66.0,73.0,31,31
2024-08-19 00:00:00,131,4.0,7.0,15.0,24.0,36.0,78.0,65,85
2024-08-20 00:00:00,132,17.0,23.0,45.0,57.0,64.0,89.0,15,31
2024-08-22 00:00:00,133,17.0,18.0,24.0,34.0,57.0,82.0,68,21
2024-08-23 00:00:00,134,5.0,7.0,59.0,70.0,72.0,73.0,33,4
2024-08-24 00:00:00,135,17.0,28.0,63.0,72.0,75.0,81.0,79,51
2024-08-27 00:00:00,136,12.0,23.0,36.0,42.0,50.0,71.0,80,40
2024-08-29 00:00:00,137,5.0,23.0,46.0,52.0,60.0,80.0,79,54
2024-08-30 00:00:00,138,7.0,34.0,47.0,52.0,74.0,86.0,78,7
2024-08-31 00:00:00,139,1.0,20.0,27.0,41.0,60.0,77.0,7,43
